NumberOfBodyParas,DocYear,NumberOfScheduleParas,DocCat,DocEnactmentDate,NumberOfParas,DocMainType
8,2013-01-31,0,primary,2013,8,UnitedKingdomPublicGeneralAct
3,2013-01-31,2,primary,2013,5,UnitedKingdomPublicGeneralAct
13,2013-01-31,32,primary,2013,45,UnitedKingdomPublicGeneralAct
7,2013-01-31,0,primary,2013,7,UnitedKingdomPublicGeneralAct
6,2013-01-31,0,primary,2013,6,UnitedKingdomPublicGeneralAct
37,2013-01-31,81,primary,2013,118,UnitedKingdomPublicGeneralAct
22,2013-02-28,12,primary,2013,34,UnitedKingdomPublicGeneralAct
6,2013-02-28,6,primary,2013,12,UnitedKingdomPublicGeneralAct
3,2013-02-28,0,primary,2013,3,UnitedKingdomPublicGeneralAct
23,2013-02-28,18,primary,2013,41,UnitedKingdomPublicGeneralAct
3,2013-02-28,0,primary,2013,3,UnitedKingdomPublicGeneralAct
8,2013-03-26,2,primary,2013,10,UnitedKingdomPublicGeneralAct
24,2013-03-26,11,primary,2013,35,UnitedKingdomPublicGeneralAct
42,2013-03-26,0,primary,2013,42,UnitedKingdomPublicGeneralAct
21,2013-03-26,5,primary,2013,26,UnitedKingdomPublicGeneralAct
3,2013-03-26,2,primary,2013,5,UnitedKingdomPublicGeneralAct
3,2013-03-26,0,primary,2013,3,UnitedKingdomPublicGeneralAct
23,2013-04-25,25,primary,2013,48,UnitedKingdomPublicGeneralAct
27,2013-04-25,22,primary,2013,49,UnitedKingdomPublicGeneralAct
5,2013-04-25,5,primary,2013,10,UnitedKingdomPublicGeneralAct
8,2013-04-25,0,primary,2013,8,UnitedKingdomPublicGeneralAct
86,2013-04-25,1199,primary,2013,1285,UnitedKingdomPublicGeneralAct
27,2013-04-25,0,primary,2013,27,UnitedKingdomPublicGeneralAct
158,2013-04-25,911,primary,2013,1069,UnitedKingdomPublicGeneralAct
43,2013-04-25,183,primary,2013,226,UnitedKingdomPublicGeneralAct
23,2013-04-25,0,primary,2013,23,UnitedKingdomPublicGeneralAct
55,2013-04-25,39,primary,2013,94,UnitedKingdomPublicGeneralAct
8,2013-07-17,0,primary,2013,8,UnitedKingdomPublicGeneralAct
271,2013-07-17,1523,primary,2013,1794,UnitedKingdomPublicGeneralAct
26,2013-07-17,147,primary,2013,173,UnitedKingdomPublicGeneralAct
3,2013-11-21,0,primary,2013,3,UnitedKingdomPublicGeneralAct
181,2013-12-18,288,primary,2013,469,UnitedKingdomPublicGeneralAct
210,2013-12-18,208,primary,2013,418,UnitedKingdomPublicGeneralAct
