mpid_twfy,mpid_grdn,mpname,mpparty,mpconstituency,constid_grdn,mpyearentered,percvote,winmajor,nextparty,nextpartyrank
24709,11797,Bridget Phillipson,Labour,Houghton and Sunderland South,1502,2010,50.3,10990,Liberal Democrat,400
11592,8730,Sharon Hodgson,Labour,Washington and Sunderland West,1540,2005,52.5,11458,Conservative,369
24710,12057,Julie Elliott,Labour,Sunderland Central,1534,2010,45.9,6725,Conservative,256
13814,10228,Naomi Long,Alliance,Belfast East,700,2010,37.2,1533,Ulster Unionist Party,9
13852,13154,Ian Paisley Jnr,DUP,North Antrim,1164,2010,46.4,12558,Social Democratic and Labour Party,8
10858,1422,Pat Doherty,Sinn Fein,West Tyrone,1430,2001,48.4,10685,Democratic Unionist Party,5
11003,7373,Kevan Jones,Labour,North Durham,890,2001,50.5,12076,Conservative,346
10626,5437,Steve Webb,Liberal Democrat,Thornbury and Yate,1537,1997,51.9,7116,Conservative,232
24711,13934,Jenny Chapman,Labour,Darlington,864,2010,39.4,3388,Conservative,266
10172,1427,Jeffrey M Donaldson,DUP,Lagan Valley,1063,1997,49.8,10486,Social Democratic and Labour Party,11
11323,6958,Hywel Williams,Plaid Cymru,Arfon,1472,2001,36,1455,Plaid Cymru,2
24713,12614,Chris Skidmore,Conservative,Kingswood,1058,2010,40.4,2445,Conservative,137
11461,5879,Charles Walker,Conservative,Broxbourne,771,2005,58.8,18804,Labour,189
24714,13393,Tom Greatrex,Labour,Rutherglen and Hamilton West,969,2010,60.8,21002,Scottish National Party,40
11892,7071,David Simpson,DUP,Upper Bann,1387,2005,33.8,3361,Ulster Unionist Party,3
24715,11713,Grahame Morris,Labour,Easington,897,2010,58.9,14982,Conservative,401
10527,4608,Adrian Sanders,Liberal Democrat,Torbay,1374,1997,47,4078,Conservative,57
11771,5881,Justine Greening,Conservative,Putney,1234,2005,52,10053,Labour,31
10958,12812,Lady Hermon,Independent,North Down,1169,2001,63.3,14364,Democratic Unionist Party,3
24716,12558,Jack Lopresti,Conservative,Filton and Bradley Stoke,1493,2010,40.8,6914,Labour,15
10517,4552,Frank Roy,Labour,Motherwell and Wishaw,1145,1997,61.1,16806,Conservative,296
13933,11171,Phil Wilson,Labour,Sedgefield,1274,2007,45.1,8696,Liberal Democrat,409
11148,6520,Albert Owen,Labour,Ynys Môn,1463,2001,33.4,2461,Plaid Cymru,3
10518,4556,Chris Ruane,Labour,Vale of Clwyd,1389,1997,42.3,2509,Conservative,142
24717,14005,Michael McCann,Labour,"East Kilbride, Strathaven and Lesmahagow",903,2010,51.5,14503,Liberal Democrat,175
