BillURL,SessionYr,DateAccessed,BillName,BillType,BillCat,LastChange,Stage,Sponsor1,Sponsor2,Sponsor1Inst,Sponsor2Inst,Agent,Promoter,LastStg,LastStgDate,NextStg,NextStgDate,BillTxtLnk1,BillTxtLnk2,BillTxtDate,BillTxtTitle,LatestNews,Summary,mpnameuseful,mpid_twfy,mpid_grdn,mpparty,mpmajority,mpentered,mpyearentered,mpconstituency,constid_grdn,mpmatch
http://services.parliament.uk//bills/2008-09/airportexpansionparliamentaryapproval.html,2008-09,20120508,Airport Expansion (Parliamentary Approval) Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,26.10.2009,Commons,Susan Kramer,NA,,NA,NA,NA,1st Reading: House of Commons,24.02.2009,,,http://www.publications.parliament.uk/pa/cm200809/cmbills/063/09063.1-i.html,http://www.publications.parliament.uk/pa/cm200809/cmbills/063/2009063.pdf,16.03.2009,Bill as Introduced,, u'\r\n            The intention of the Bill is to amend the planning process to include at an early stage a role for Parliament in approving or rejecting any plan for airport expansion.\r\n        ',Susan Kramer,NA,NA,NA,NA,NA,NA,NA,NA,MPNotFound
http://services.parliament.uk//bills/2008-09/apprenticeshipsskillschildrenandlearning.html,2008-09,20120508,"Apprenticeships, Skills, Children and Learning   Act",Government Bill,G,20.11.2009,Royal Assent,Ed Balls,Baroness Morgan of Drefelin,"Department Children, Schools and Families","Department Children, Schools and Families",NA,NA,Royal Assent,12.11.2009,,,http://www.opsi.gov.uk/acts/acts2009/ukpga_20090022_en_1,http://www.opsi.gov.uk/acts/acts2009/pdf/ukpga_20090022_en.pdf,20.11.2009,"Apprenticeships, Skills, Children and Learning Act 2009",," u'\n'  The Bill introduces a wide range of measures covering apprenticeships, learning and skills and educational provision.   Key areas    Provides for a statutory framework for apprenticeships and creates a right to an apprenticeship for suitably qualified 16-18 year olds   Introduces a right for employees to request time away from their duties to undertake training, and places a corresponding duty on employers to consider such requests seriously and to be able to refuse them only for specified business reasons   Dissolves the Learning and Skills Council </li><li>Transfers the responsibility for funding education and training for 16-18-year-olds to local authorities </li><li>Makes provisions with respect to the education of offenders </li><li>Creates the Young Person’s Learning Agency, the Skills Funding Agency, a new regulatory body for qualifications (Ofqual), and a new agency to carry out the  non-regulatory functions currently performed by the Qualifications and Curriculum Authority </li><li>Strengthens the accountability of children’s services</li><li>Amends intervention powers in respect of schools which are causing concern </li><li>Establishes a new parental complaints service</li><li>Changes the school inspection arrangements </li><li>Creates a new negotiating body for pay and conditions for school support staff </li><li>Makes provisions in respect of pupil and student behaviour. </li></ul> <p> </p> u'\n'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://services.parliament.uk//bills/2008-09/armeniangenocideremembranceday.html,2008-09,20120508,Armenian Genocide Remembrance Day  Bill,Private Members' Bill (Presentation Bill),PMB-C,09.11.2009,Commons,Mr Andrew Dismore,NA,,NA,NA,NA,1st Reading: House of Commons,26.01.2009,,,http://www.publications.parliament.uk/pa/cm200809/cmbills/043/09043.1-i.html,http://www.publications.parliament.uk/pa/cm200809/cmbills/043/2009043.pdf,21.07.2009,Bill as Presented,, u'\n'  This Bill would require the Secretary of State to specify a date which would be observed annually as 'Armenian Genocide Remembrance Day'.  u'\n',Andrew Dismore,NA,NA,NA,NA,NA,NA,NA,NA,MPNotFound
http://services.parliament.uk//bills/2008-09/autism.html,2008-09,20120508,Autism Act,Private Members' Bill (Ballot Bill),PMB-C,20.11.2009,Royal Assent,Mrs Cheryl Gillan,Baroness Pitkeathley,,,NA,NA,Royal Assent,12.11.2009,,,http://www.opsi.gov.uk/acts/acts2009/ukpga_20090015_en_1,http://www.opsi.gov.uk/acts/acts2009/pdf/ukpga_20090015_en.pdf,12.11.2009,Autism Act 2009,," u'\r\n            Following amendments in a Public Bill Committee, which debates and examines the Bill clause by clause, the Bill would require the Secretary of State for Health to publish an adult autism strategy and to issue associated statutory guidance. It would also place a duty on local authorities and NHS bodies to act under this guidance.\r\n        '",Cheryl Gillan,10228,1931,Conservative,16710,1992-04-09,1992,Chesham and Amersham,813,OK
http://services.parliament.uk//bills/2008-09/bailiffsrepealsandamendment.html,2008-09,20120508,Bailiffs (Repeals and Amendment) Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,23.10.2009,Commons,Karen Buck,NA,,NA,NA,NA,1st Reading: House of Commons,02.06.2009,,,,,,,, u'\r\n            A Bill to make requirements in respect of the use of force and forcible entry by bailiffs; to make provision for the reference to court of certain cases involving vulnerable clients; and for connect purposes.\r\n        ',Karen Buck,10075,697,Labour,2126,1997-05-01,1997,Westminster North,1434,OK
http://services.parliament.uk//bills/2008-09/bankofenglandamendmenthl.html,2008-09,20120508,Bank of England (Amendment) Bill [HL],Private Members' Bill (Starting in the House of Lords),PMB-L,06.11.2009,Lords,Lord Saatchi,NA,,NA,NA,NA,3rd Reading: House of Lords,17.06.2009,,,http://www.publications.parliament.uk/pa/ld200809/ldbills/011/09011.1-i.html,http://www.publications.parliament.uk/pa/ld200809/ldbills/011/2009011.pdf,17.12.2008,Bill as introduced,, u'\r\n            To amend the objectives of the Bank of England in relation to monetary policy.\r\n        ',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://services.parliament.uk//bills/2008-09/bankerspensionslimits.html,2008-09,20120508,Bankers' Pensions (Limits) Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,08.09.2009,Commons,Ann Clwyd,NA,,NA,NA,NA,1st Reading: House of Commons,10.03.2009,,,http://www.publications.parliament.uk/pa/cm200809/cmbills/073/09073.i-i.html,http://www.publications.parliament.uk/pa/cm200809/cmbills/073/2009073.pdf,12.06.2009,Bill as introduced,," u""\r\n            This Bill would allow the pensions of board members of banks to be limited in circumstances in which a bank has been taken wholly or partly into public ownership because it was deemed incapable of trading as solvent or likely to go into administration.\xa0The amount of any reduction in pension would depend on the board member's responsibility for the events in question.\r\n        """,Ann Clwyd,10120,1008,Labour,9617,1984-05-03,1984,Cynon Valley,862,OK
http://services.parliament.uk//bills/2008-09/banking.html,2008-09,20120508,Banking Act,Government Bill,G,20.11.2009,Royal Assent,Alistair Darling,Lord Davies of Oldham,HM Treasury,HM Treasury,NA,NA,Royal Assent,12.02.2009,,,http://www.opsi.gov.uk/acts/acts2009/ukpga_20090001_en_1,http://www.opsi.gov.uk/acts/acts2009/pdf/ukpga_20090001_en.pdf,16.03.2009,Banking Act 2009 c.1,," u'\r\n            The Bill establishes for the first time a permanent statutory regime for dealing with failing banks, amends related current legislation and makes new provisions for the governance of the Bank of England.'      Key areas        establishes a permanent special resolution regime, providing the authorities with tools to deal with banks that get into financial difficulties. The regime has three options - transfer to a private sector purchaser, transfer to a bridge bank and transfer to temporary public sector ownership  creates a new bank insolvency procedure</li><li>provides for a new bank administration procedure for use where there has been a partial transfer of business from a failing bank</li><li>amends the Financial Services and Markets Act 2000 to enable changes to the Financial Services Compensation Scheme to be made, which fall outside the scope of the existing legislation</li><li>formalises the Bank of England’s role in the oversight of inter-bank payment systems</li><li>repeals legislation governing the issue of banknotes in Scotland and Northern Ireland, limits their issuance to existing issuers and provides for new reserve requirements</li><li>makes provisions relating to the governance of the Bank of England, including a new statutory financial stability objective and the establishment of a Financial Stability Committee.</li></ul> u'\n'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://services.parliament.uk//bills/2008-09/bankingno2hl.html,2008-09,20120508,Banking (No. 2) Bill [HL],Government Bill,G,23.02.2009,Lords,Lord Myners,NA,HM Treasury,NA,NA,NA,2nd Reading: House of Lords,16.12.2008,,,http://www.publications.parliament.uk/pa/ld200809/ldbills/003/09003.i-v.html,http://www.publications.parliament.uk/pa/ld200809/ldbills/003/2009003.pdf,05.12.2008,Bill as introduced,," u'\r\n            The Bill establishes for the first time a permanent statutory regime for dealing with failing banks, amends related current legislation and makes new provisions for the governance of the Bank of England.'      Key areas        establishes a permanent special resolution regime, providing the authorities with tools to deal with banks that get into financial difficulties. The regime has three options - transfer to a private sector purchaser, transfer to a bridge bank and transfer to temporary public sector ownership  creates a new bank insolvency procedure</li><li>provides for a new bank administration procedure for use where there has been a partial transfer of business from a failing bank</li><li>amends the Financial Services and Markets Act 2000 to enable changes to the Financial Services Compensation Scheme to be made, which fall outside the scope of the existing legislation</li><li>formalises the Bank of England’s role in the oversight of inter-bank payment systems</li><li>repeals legislation governing the issue of banknotes in Scotland and Northern Ireland, limits their issuance to existing issuers and provides for new reserve requirements</li><li>makes provisions relating to the governance of the Bank of England, including a new statutory financial stability objective and the establishment of a Financial Stability Committee.</li></ul> u'\n'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://services.parliament.uk//bills/2008-09/beverleyfreemenhl.html,2008-09,20120508,Beverley Freemen Act,Private Bill,PB,18.03.2010,Royal Assent,NA,NA,NA,NA,Winckworth Sherwood,East Riding of Yorkshire Council,Royal Assent,21.01.2010,,,http://www.opsi.gov.uk/acts/localact2010/ukla_20100001_en_1,http://www.opsi.gov.uk/acts/localact2010/pdf/ukla_20100001_en.pdf,25.02.2010,Beverley Freemen Act 2010 c.i,," u'\n'  If you are ""specially and directly affected"" by this bill you may oppose the bill or seek its amendment before a Select Committee in either or both Houses.  If you present a ""petition"" against the bill at the appropriate times you may be able to have your views on the bill heard by the Committee (in whichever House you petition).There are specific times when petitions can be presented.     The petitioning period in the House of Lords ended on 6 February 2009.     The   petitioning period in the House of Commons ended on 7 December 2009.       No petitions were presented to either House.    u'\n'  Summary of the Bill  u'\n'  The Bill relates to the Freemen of Beverley (the former county town of the East Riding), their entitlement to be enrolled as Pasture Freemen and to the appointment from amongst the Pasture Freemen of the Beverley Pasture Master.   The Bill would:     re-state the categories of person entitled by birthright to be enrolled as a Beverley Freeman so as to extend entitlement to the daughter of a Freeman and to any person born before the Freeman parent became a Freeman   <ul><li>remove the requirement for a Freeman to be born in the former municipal borough</li></ul> <ul><li>make entitlement to be enrolled as a Pasture Freeman dependent upon residence in an extended area that includes the whole of Beverley as it presently exists</li></ul> <ul><li>modify the Beverley Common Pastures Act 1836 and the 1813 Order to reflect these changes.</li></ul> u'\n'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
