Session,BillURL,DateAccessed,BillName,BillType,BillCat,UKPB_Bill,UKPB_Act,RoyalAssent,RoyalAssentDate,LastChange,Stage,NumberofStages,FirstStageDate,LastStageDate,FirsStageName,LastStageName,Sponsor1,Sponsor2,Sponsor1Inst,Sponsor2Inst,Agent,Promoter,LatestStg-BillPage,LatestStgDate-Billpage,NextStg-Billpage,NextStgDate-Billpage,BillTxtLnk1,BillTxtLnk2,BillTxtDate,BillTxtTitle,LatestNews,Summary,mpnameuseful,mpid_twfy,mpid_grdn,mpparty,mpmajority,mpentered,mpyearentered,mpconstituency,constid_grdn,mpmatch,NumParagraphsTotal,NumParagraphsBody,NumParagraphsSchedules,LegGovUkLink,DocYear,DocMainType,DocEnactmentDate,DocCat,ActNameLGUK
2013-14,http://services.parliament.uk//bills/2013-14/accesstomentalhealthservices.html,20140413_170732,Access to Mental Health Services Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,Yes,No,No,NA,23.01.2014,Commons,2,10.09.2013,Date to be announced,1st reading: House of Commons,2nd reading: House of Commons,Mr Michael Thornton,NA,,NA,NA,NA,1st reading: House of Commons,10.09.2013,2nd reading: House of Commons,Date to be announced,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0106/cbill_2013-20140106_en_1.htm,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0106/14106.pdf,10.01.2014,"Bill 106 2013-2014, as introduced",, u'\r\n            A Bill to provide for establishing maximum waiting times and establishing standards for access to evidence-based psychological therapies for those with mental health problems; and for connected purposes.\r\n           \r\n        ',Michael Thornton,NA,NA,NA,NA,NA,NA,NA,NA,MPNotFound,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/additionalchargesforutilitybillsnotpaidbydirectdebitlimits.html,20140413_170732,Additional Charges for Utility Bills Not Paid by Direct Debit (Limits) Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,Yes,No,No,NA,28.02.2014,Commons,2,11.02.2014,Date to be announced,1st reading: House of Commons,2nd reading: House of Commons,Robert Halfon,NA,,NA,NA,NA,1st reading: House of Commons,11.02.2014,2nd reading: House of Commons,Date to be announced,NA,NA,NA,NA,, u'\r\n            A Bill to limit levels of additional amounts charged by utility companies on bills not paid by direct debit; and for connected purposes.\r\n           \r\n        ',Robert Halfon,24784,5930,Conservative,4925,2010-05-06,2010,Harlow,1000,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/adventureandgapyearactivitycompaniesaccreditationandinspection.html,20140413_170732,Adventure and Gap Year Activity Companies (Accreditation and Inspection) Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,Yes,No,No,NA,27.02.2014,Commons,2,21.01.2014,16.05.2014,1st reading: House of Commons,2nd reading: House of Commons,Kate Green,NA,,NA,NA,NA,1st reading: House of Commons,21.01.2014,2nd reading: House of Commons,16.05.2014,NA,NA,NA,NA,," u'\r\n            A Bill to make provision for a register of accredited providers of adventure and gap year activities in the UK and overseas, where such activities are offered by a UK-owned or managed business; for the provision of consumer information about the registration process; for inspections of providers of such activities and for a register of approved inspectors; and for connected purposes.\r\n           \r\n        '",Kate Green,24896,12054,Labour,8935,2010-05-06,2010,Stretford and Urmston,1347,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/ageofcriminalresponsibility.html,20140413_170732,Age of Criminal Responsibility Bill [HL],Private Members' Bill (Starting in the House of Lords),PMB-L,Yes,No,No,NA,11.11.2013,Lords,2,14.05.2013,08.11.2013,1st reading: House of Lords,2nd reading: House of Lords,Lord Dholakia,NA,,NA,NA,NA,2nd reading: House of Lords,08.11.2013,NA,NA,http://www.publications.parliament.uk/pa/bills/lbill/2013-2014/0017/lbill_2013-20140017_en_1.htm,http://www.publications.parliament.uk/pa/bills/lbill/2013-2014/0017/14017.pdf,15.05.2013,"HL Bill 17  2013-2014, as introduced",," u'\r\n            A Bill to raise the age of criminal responsibility, and for connected purposes.\r\n           \r\n        '",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/agriculturalaccidentsrecords.html,20140413_170732,Agricultural Accidents (Records) Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,Yes,No,No,NA,10.04.2014,Commons,2,09.04.2014,06.06.2014,1st reading: House of Commons,2nd reading: House of Commons,Bill Wiggin,NA,,NA,NA,NA,1st reading: House of Commons,09.04.2014,2nd reading: House of Commons,06.06.2014,NA,NA,NA,NA,, u'\r\n            A Bill to require the Health and Safety Executive to record certain details of agricultural accidents and to report those details annually; and for connected purposes.\r\n           \r\n        ',Bill Wiggin,11318,5982,Conservative,9887,2001-06-07,2001,North Herefordshire,1500,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/alanturingstatutorypardon.html,20140413_170732,Alan Turing (Statutory Pardon) Bill [HL],Private Members' Bill (Starting in the House of Lords),PMB-L,Yes,No,No,NA,27.02.2014,Commons,6,09.05.2013,Date to be announced,1st reading: House of Lords,2nd reading: House of Commons,Lord Sharkey,John Leech,,,NA,NA,1st reading: House of Commons,30.10.2013,2nd reading: House of Commons,Date to be announced,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0124/cbill_2013-20140124_en_1.htm,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0124/14124.pdf,31.10.2013,Bill 124 2013-14 (as brought from the Lords),, u'\r\n            A Bill to give a statutory pardon to Alan Mathison Turing for offences under Section 11 of the Criminal Law Amendment Act 1885 of which he was convicted on 31 March 1952.\r\n           \r\n        ',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/animalwelfareelectroniccollars.html,20140413_170732,Animal Welfare (Electronic Collars) Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,Yes,No,No,NA,28.02.2014,Commons,2,22.01.2014,06.06.2014,1st reading: House of Commons,2nd reading: House of Commons,Dr Matthew Offord,NA,,NA,NA,NA,1st reading: House of Commons,22.01.2014,2nd reading: House of Commons,06.06.2014,NA,NA,NA,NA,, u'\r\n            A Bill to prohibit the use on dogs of any electronic collar designed to administer an electric shock; and for connected purposes.\r\n           \r\n        ',Matthew Offord,24955,5754,Conservative,106,2010-05-06,2010,Hendon,1013,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/antisocialbehaviourcrimeandpolicingbill.html,20140413_170732,"Anti-social Behaviour, Crime and Policing Act 2014",Government Bill,G,Yes,Yes,Yes,13.03.2014,14.03.2014,Royal Assent,43,09.05.2013,13.03.2014,1st reading: House of Commons,Royal Assent,Mrs Theresa May,Lord Taylor of Holbeach,Home Office,Home Office,NA,NA,Royal Assent,13.03.2014,NA,NA,http://www.legislation.gov.uk/ukpga/2014/12/contents/enacted/data.htm,NA,13.03.2014,"Anti-social Behaviour, Crime and Policing Act 2014 c.12",," u'\r\n            To make provision about anti-social behaviour, crime and disorder, including provision about recovery of possession of dwelling houses; to make provision amending the Dangerous Dogs Act 1991, Schedules 7 and 8 to the Terrorism Act 2000 and the Extradition Act 2003; to make provision about firearms and about forced marriage; to make provision about the police, the Independent\r\nPolice Complaints Commission and the Serious Fraud Office; to make\r\nprovision about criminal justice and court fees; and for connected purposes.\r\n           \r\n        '",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519,236,283,http://www.legislation.gov.uk/ukpga/2014/12/contents/enacted/data.xml,2014,UnitedKingdomPublicGeneralAct,2014-03-13,primary,"Anti-social Behaviour, Crime and Policing Act 2014"
2013-14,http://services.parliament.uk//bills/2013-14/apprenticeshipsandskillspublicprocurementcontracts.html,20140413_170732,Apprenticeships and Skills (Public Procurement Contracts) Bill,Private Members' Bill (Ballot Bill),PMB-C,Yes,No,No,NA,19.11.2013,Commons,3,19.06.2013,Date to be announced,1st reading: House of Commons,2nd reading: House of Commons,Andrew Gwynne,NA,,NA,NA,NA,2nd reading: House of Commons,01.11.2013,2nd reading: House of Commons,Date to be announced,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0017/cbill_2013-20140017_en_1.htm,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0017/14017.pdf,30.10.2013,"Bill 17 2013-2014, as introduced",, u'\r\n            A Bill to require certain public procurement contracts let by public authorities to include a commitment by the contractor to provide apprenticeships and skills training; and for connected purposes.\r\n           \r\n        ',Andrew Gwynne,11531,8702,Labour,9831,2005-05-05,2005,Denton and Reddish,869,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/arbitrationandmediationequalityservices.html,20140413_170732,Arbitration and Mediation (Equality) Services Bill [HL],Private Members' Bill (Starting in the House of Lords),PMB-L,Yes,No,No,NA,15.05.2013,Lords,1,14.05.2013,14.05.2013,1st reading: House of Lords,1st reading: House of Lords,Baroness Cox,NA,,NA,NA,NA,1st reading: House of Lords,14.05.2013,NA,NA,http://www.publications.parliament.uk/pa/bills/lbill/2013-2014/0020/lbill_2013-20140020_en_1.htm,http://www.publications.parliament.uk/pa/bills/lbill/2013-2014/0020/14020.pdf,15.05.2013,"HL Bill 20 2014-2015, as introduced",," u'\r\n            A Bill to make further provision about arbitration and mediation services and the application of equality legislation to such services, to make provision about the protection of victims of domestic abuse, and for connected purposes.\r\n           \r\n        '",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
