BillURL,SessionYr,BillName,BillCat,UKPB_Bill,UKPB_Act,RoyalAssent,RoyalAssentDate,StageName,StageDate,StageNumber,NumberofStages,firststage,firststagedate,StageLink
http://services.parliament.uk//bills/2007-08/adultswithautism.html,2007-08,Adults with Autism Bill,PMB-C,Yes,No,No,NA,1st Reading: House of Commons,20.05.2008,1,1,1st Reading: House of Commons,20.05.2008,http://www.publications.parliament.uk/pa/cm200708/cmhansrd/cm080520/debtext/80520-0004.htm#08052039000002
http://services.parliament.uk//bills/2007-08/alcohollabellinghl.html,2007-08,Alcohol Labelling Bill [HL],PMB-L,Yes,No,No,NA,1st Reading: House of Lords,22.11.2007,1,5,1st Reading: House of Lords,22.11.2007,http://www.publications.parliament.uk/pa/ld200708/ldhansrd/text/71122-0002.htm#07112238000002
http://services.parliament.uk//bills/2007-08/alcohollabellinghl.html,2007-08,Alcohol Labelling Bill [HL],PMB-L,Yes,No,No,NA,2nd Reading: House of Lords,18.01.2008,2,5,1st Reading: House of Lords,22.11.2007,http://www.publications.parliament.uk/pa/ld200708/ldhansrd/text/80118-0001.htm#08011851000004
http://services.parliament.uk//bills/2007-08/alcohollabellinghl.html,2007-08,Alcohol Labelling Bill [HL],PMB-L,Yes,No,No,NA,Committee: 1st sitting: House of Lords,01.05.2008,3,5,1st Reading: House of Lords,22.11.2007,http://www.publications.parliament.uk/pa/ld200708/ldhansrd/text/80501-0013.htm#08050183000004
http://services.parliament.uk//bills/2007-08/alcohollabellinghl.html,2007-08,Alcohol Labelling Bill [HL],PMB-L,Yes,No,No,NA,Report stage: House of Lords,11.06.2008,4,5,1st Reading: House of Lords,22.11.2007,http://www.publications.parliament.uk/pa/ld200708/ldhansrd/text/80611-0011.htm#080611134000001
http://services.parliament.uk//bills/2007-08/alcohollabellinghl.html,2007-08,Alcohol Labelling Bill [HL],PMB-L,Yes,No,No,NA,3rd Reading: House of Lords,01.07.2008,5,5,1st Reading: House of Lords,22.11.2007,http://www.publications.parliament.uk/pa/ld200708/ldhansrd/text/80701-0002.htm#08070172000002
http://services.parliament.uk//bills/2007-08/alcoholsalesregulationofpricesandpromotion.html,2007-08,Alcohol Sales (Regulation of Prices and Promotion) Bill,PMB-C,Yes,No,No,NA,1st Reading: House of Commons,10.06.2008,1,1,1st Reading: House of Commons,10.06.2008,http://www.publications.parliament.uk/pa/cm200708/cmhansrd/cm080610/debtext/80610-0004.htm#08061081000001
http://services.parliament.uk//bills/2007-08/allotmentsplanning.html,2007-08,Allotments (Planning) Bill,PMB-C,Yes,No,No,NA,1st Reading: House of Commons,19.02.2008,1,1,1st Reading: House of Commons,19.02.2008,http://www.publications.parliament.uk/pa/cm200708/cmhansrd/cm080219/debtext/80219-0004.htm#08021984000004
http://services.parliament.uk//bills/2007-08/animalsact1971amendment.html,2007-08,Animals Act 1971 (Amendment) Bill,PMB-C,Yes,No,No,NA,1st Reading: House of Commons,05.12.2007,1,2,1st Reading: House of Commons,05.12.2007,http://www.publications.parliament.uk/pa/cm200708/cmhansrd/cm071205/debtext/71205-0008.htm
http://services.parliament.uk//bills/2007-08/animalsact1971amendment.html,2007-08,Animals Act 1971 (Amendment) Bill,PMB-C,Yes,No,No,NA,2nd Reading: House of Commons,14.03.2008,2,2,1st Reading: House of Commons,05.12.2007,http://www.publications.parliament.uk/pa/cm200708/cmhansrd/cm080314/debtext/80314-0001.htm#08031441000003
http://services.parliament.uk//bills/2007-08/armedforcesfederation.html,2007-08,Armed Forces (Federation) Bill,PMB-C,Yes,No,No,NA,1st Reading: House of Commons,13.05.2008,1,1,1st Reading: House of Commons,13.05.2008,http://www.publications.parliament.uk/pa/cm200708/cmhansrd/cm080513/debtext/80513-0006.htm#08051353000002
http://services.parliament.uk//bills/2007-08/autumnbankholiday.html,2007-08,Autumn Bank Holiday Bill,PMB-C,Yes,No,No,NA,1st Reading: House of Commons,04.03.2008,1,1,1st Reading: House of Commons,04.03.2008,http://www.publications.parliament.uk/pa/cm200708/cmhansrd/cm080304/debtext/80304-0004.htm#08030458000002
http://services.parliament.uk//bills/2007-08/bankholidaycontributionofpolishcitizens.html,2007-08,Bank Holiday (Contribution of Polish Citizens) Bill,PMB-C,Yes,No,No,NA,1st Reading: House of Commons,04.06.2008,1,1,1st Reading: House of Commons,04.06.2008,http://www.publications.parliament.uk/pa/cm200708/cmhansrd/cm080604/debtext/80604-0004.htm#08060476000002
http://services.parliament.uk//bills/2007-08/bankofenglandamendmenthl.html,2007-08,Bank of England (Amendment) Bill [HL],PMB-L,Yes,No,No,NA,1st Reading: House of Lords,29.10.2008,1,2,1st Reading: House of Lords,29.10.2008,http://www.publications.parliament.uk/pa/ld200708/ldhansrd/text/81029-0002.htm#08102937000002
http://services.parliament.uk//bills/2007-08/bankofenglandamendmenthl.html,2007-08,Bank of England (Amendment) Bill [HL],PMB-L,Yes,No,No,NA,2nd reading: House of Lords,Date to be announced,2,2,1st Reading: House of Lords,29.10.2008,NA
http://services.parliament.uk//bills/2007-08/banking.html,2007-08,Banking Act,G,Yes,Yes,Yes,12.02.2009,1st Reading: House of Commons,07.10.2008,1,42,1st Reading: House of Commons,07.10.2008,http://www.publications.parliament.uk/pa/pabills/no_debate.htm
http://services.parliament.uk//bills/2007-08/banking.html,2007-08,Banking Act,G,Yes,Yes,Yes,12.02.2009,2nd Reading: House of Commons,14.10.2008,2,42,1st Reading: House of Commons,07.10.2008,http://www.publications.parliament.uk/pa/cm200708/cmhansrd/cm081014/debtext/81014-0006.htm#08101459000001
http://services.parliament.uk//bills/2007-08/banking.html,2007-08,Banking Act,G,Yes,Yes,Yes,12.02.2009,Programme motion: House of Commons,14.10.2008,3,42,1st Reading: House of Commons,07.10.2008,http://www.publications.parliament.uk/pa/cm200708/cmhansrd/cm081014/debtext/81014-0018.htm#08101497000002
