BillURL,SessionYr,BillName,BillCat,StageName,StageDate,StageLink
http://services.parliament.uk//bills/2008-09/airportexpansionparliamentaryapproval.html,2008-09,Airport Expansion (Parliamentary Approval) Bill,PMB-C,1st Reading: House of Commons,24.02.2009,http://www.publications.parliament.uk/pa/cm200809/cmhansrd/cm090224/debtext/90224-0006.htm
http://services.parliament.uk//bills/2008-09/apprenticeshipsskillschildrenandlearning.html,2008-09,"Apprenticeships, Skills, Children and Learning   Act",G,1st Reading: House of Commons,04.02.2009,http://www.publications.parliament.uk/pa/cm200809/cmhansrd/cm090204/debtext/90204-0004.htm#09020464000009
http://services.parliament.uk//bills/2008-09/apprenticeshipsskillschildrenandlearning.html,2008-09,"Apprenticeships, Skills, Children and Learning   Act",G,2nd Reading: House of Commons,23.02.2009,http://www.publications.parliament.uk/pa/cm200809/cmhansrd/cm090223/debtext/90223-0004.htm#0902232000001
http://services.parliament.uk//bills/2008-09/apprenticeshipsskillschildrenandlearning.html,2008-09,"Apprenticeships, Skills, Children and Learning   Act",G,Programme motion: House of Commons,23.02.2009,http://www.publications.parliament.uk/pa/cm200809/cmhansrd/cm090223/debtext/90223-0020.htm#09022332000007
http://services.parliament.uk//bills/2008-09/apprenticeshipsskillschildrenandlearning.html,2008-09,"Apprenticeships, Skills, Children and Learning   Act",G,Money resolution: House of Commons,23.02.2009,http://www.publications.parliament.uk/pa/cm200809/cmhansrd/cm090223/debtext/90223-0020.htm#09022332000003
http://services.parliament.uk//bills/2008-09/apprenticeshipsskillschildrenandlearning.html,2008-09,"Apprenticeships, Skills, Children and Learning   Act",G,Committee: 1st sitting: House of Commons,03.03.2009,http://www.publications.parliament.uk/pa/cm200809/cmpublic/appren/090303/am/90303s01.htm
http://services.parliament.uk//bills/2008-09/apprenticeshipsskillschildrenandlearning.html,2008-09,"Apprenticeships, Skills, Children and Learning   Act",G,Committee: 2nd sitting: House of Commons,03.03.2009,http://www.publications.parliament.uk/pa/cm200809/cmpublic/appren/090303/pm/90303s01.htm
http://services.parliament.uk//bills/2008-09/apprenticeshipsskillschildrenandlearning.html,2008-09,"Apprenticeships, Skills, Children and Learning   Act",G,Committee: 3rd sitting: House of Commons,05.03.2009,http://www.publications.parliament.uk/pa/cm200809/cmpublic/appren/090305/am/90305s01.htm
http://services.parliament.uk//bills/2008-09/apprenticeshipsskillschildrenandlearning.html,2008-09,"Apprenticeships, Skills, Children and Learning   Act",G,Committee: 4th sitting: House of Commons,05.03.2009,http://www.publications.parliament.uk/pa/cm200809/cmpublic/appren/090305/pm/90305s01.htm
http://services.parliament.uk//bills/2008-09/apprenticeshipsskillschildrenandlearning.html,2008-09,"Apprenticeships, Skills, Children and Learning   Act",G,Committee: 5th sitting: House of Commons,10.03.2009,http://www.publications.parliament.uk/pa/cm200809/cmpublic/appren/090310/am/90310s01.htm
http://services.parliament.uk//bills/2008-09/apprenticeshipsskillschildrenandlearning.html,2008-09,"Apprenticeships, Skills, Children and Learning   Act",G,Committee: 6th sitting: House of Commons,10.03.2009,http://www.publications.parliament.uk/pa/cm200809/cmpublic/appren/090310/pm/90310s01.htm
http://services.parliament.uk//bills/2008-09/apprenticeshipsskillschildrenandlearning.html,2008-09,"Apprenticeships, Skills, Children and Learning   Act",G,Committee: 7th sitting: House of Commons,12.03.2009,http://www.publications.parliament.uk/pa/cm200809/cmpublic/appren/090312/am/90312s01.htm
http://services.parliament.uk//bills/2008-09/apprenticeshipsskillschildrenandlearning.html,2008-09,"Apprenticeships, Skills, Children and Learning   Act",G,Committee: 8th sitting: House of Commons,12.03.2009,http://www.publications.parliament.uk/pa/cm200809/cmpublic/appren/090312/pm/90312s01.htm
http://services.parliament.uk//bills/2008-09/apprenticeshipsskillschildrenandlearning.html,2008-09,"Apprenticeships, Skills, Children and Learning   Act",G,Committee: 9th sitting: House of Commons,17.03.2009,http://www.publications.parliament.uk/pa/cm200809/cmpublic/appren/090317/am/90317s01.htm
http://services.parliament.uk//bills/2008-09/apprenticeshipsskillschildrenandlearning.html,2008-09,"Apprenticeships, Skills, Children and Learning   Act",G,Committee: 10th sitting: House of Commons,17.03.2009,http://www.publications.parliament.uk/pa/cm200809/cmpublic/appren/090317/pm/90317s01.htm
http://services.parliament.uk//bills/2008-09/apprenticeshipsskillschildrenandlearning.html,2008-09,"Apprenticeships, Skills, Children and Learning   Act",G,Committee: 11th sitting: House of Commons,19.03.2009,http://www.publications.parliament.uk/pa/cm200809/cmpublic/appren/090319/am/90319s01.htm
http://services.parliament.uk//bills/2008-09/apprenticeshipsskillschildrenandlearning.html,2008-09,"Apprenticeships, Skills, Children and Learning   Act",G,Committee: 12th sitting: House of Commons,19.03.2009,http://www.publications.parliament.uk/pa/cm200809/cmpublic/appren/090319/pm/90319s01.htm
http://services.parliament.uk//bills/2008-09/apprenticeshipsskillschildrenandlearning.html,2008-09,"Apprenticeships, Skills, Children and Learning   Act",G,Committee: 13th sitting: House of Commons,24.03.2009,http://www.publications.parliament.uk/pa/cm200809/cmpublic/appren/090324/am/90324s01.htm
http://services.parliament.uk//bills/2008-09/apprenticeshipsskillschildrenandlearning.html,2008-09,"Apprenticeships, Skills, Children and Learning   Act",G,Committee: 14th sitting: House of Commons,24.03.2009,http://www.publications.parliament.uk/pa/cm200809/cmpublic/appren/090324/pm/90324s01.htm
