BillURL,SessionYr,BillName,StageName,StageDate,StageLink
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,1st reading: House of Lords,26.05.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/100526-0001.htm#10052618000334
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,2nd reading: House of Lords,07.06.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/100607-0002.htm#1006077000378
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,Committee: 1st sitting: House of Lords,21.06.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/100621-0002.htm#1006214000418
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,Committee: 2nd sitting: House of Lords,23.06.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/100623-0002.htm#10062341000492
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,Committee: 3rd sitting: House of Lords,28.06.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/100628-0005.htm#1006282000481
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,Report: 1st sitting: House of Lords,06.07.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/100706-0001.htm#10070629000860
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,Report: 2nd sitting: House of Lords,07.07.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/100707-0001.htm#10070749000431
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,3rd reading: House of Lords,13.07.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/100713-0001.htm#10071325001246
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,1st reading: House of Commons,13.07.2010,http://www.parliament.uk/business/bills-and-legislation/current-bills/bills-before-parliament-no-debate/
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,2nd reading: House of Commons,19.07.2010,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm100719/debtext/100719-0001.htm#10071915000001
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,Programme motion: House of Commons,19.07.2010,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm100719/debtext/100719-0004.htm#10072011000003
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,Money resolution: House of Commons,19.07.2010,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm100719/debtext/100719-0004.htm#10072011000004
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,Committee: 1st sitting: House of Commons,21.07.2010,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm100721/debtext/100721-0002.htm#10072126000004
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,Committee: 2nd sitting: House of Commons,22.07.2010,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm100722/debtext/100722-0002.htm#10072245000001
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,Committee: 3rd sitting: House of Commons,26.07.2010,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm100726/debtext/100726-0002.htm#10072611000001
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,3rd reading: House of Commons,26.07.2010,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm100726/debtext/100726-0004.htm#10072645000001
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,Ping Pong: House of Lords,27.07.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/100727-0002.htm#10072739000585
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,Royal Assent,27.07.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/100727-0002.htm#10072739000586
http://services.parliament.uk//bills/2010-12/activitycentresyoungpersonssafetyamendment.html,2010-12,Activity Centres (Young Persons' Safety) (Amendment) Bill,1st reading: House of Commons,21.10.2010,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm101021/debtext/101021-0002.htm
http://services.parliament.uk//bills/2010-12/adoptionleavepayandallowancearrangements.html,2010-12,"Adoption (Leave, Pay and Allowance Arrangements) Bill",1st reading: House of Commons,29.06.2011,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm110629/debtext/110629-0002.htm#11062965000001
http://services.parliament.uk//bills/2010-12/airportsecuritypeoplewithdisabilities.html,2010-12,Airport Security (People with Disabilities) Bill,1st reading: House of Commons,01.02.2012,http://www.publications.parliament.uk/pa/cm201212/cmhansrd/cm120201/debtext/120201-0001.htm#12020160000001
http://services.parliament.uk//bills/2010-12/airportsamendmenthl.html,2010-12,Airports (Amendment) Bill [HL],1st reading: House of Lords,07.12.2011,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/111207-0001.htm#11120746000837
http://services.parliament.uk//bills/2010-12/airportsamendmenthl.html,2010-12,Airports (Amendment) Bill [HL],2nd reading: House of Lords,16.03.2012,http://www.publications.parliament.uk/pa/ld201212/ldhansrd/text/120316-0001.htm#12031648000471
http://services.parliament.uk//bills/2010-12/alcoholmarketing.html,2010-12,Alcohol Marketing Bill,1st reading: House of Commons,30.03.2011,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm110330/debtext/110330-0002.htm#11033062000001
http://services.parliament.uk//bills/2010-12/allhallowsstainingchurchhl.html,2010-12,Allhallows Staining Church Act,1st reading: House of Lords,25.01.2010,http://www.publications.parliament.uk/pa/ld200910/minutes/100126/ldordpap.htm#minproc
http://services.parliament.uk//bills/2010-12/allhallowsstainingchurchhl.html,2010-12,Allhallows Staining Church Act,2nd reading: House of Lords,09.02.2010,http://www.publications.parliament.uk/pa/ld200910/minutes/100210/ldordpap.htm#minproc
http://services.parliament.uk//bills/2010-12/allhallowsstainingchurchhl.html,2010-12,Allhallows Staining Church Act,Transcript of Lords UBC - day 1 (of 1): House of Lords,08.03.2010,http://www.publications.parliament.uk/pa/ld200910/ldprbill/allhall/ubc0803.htm
http://services.parliament.uk//bills/2010-12/allhallowsstainingchurchhl.html,2010-12,Allhallows Staining Church Act,3rd reading: House of Lords,18.03.2010,http://www.publications.parliament.uk/pa/ld200910/ldhansrd/text/100318-0003.htm#10031838000668
http://services.parliament.uk//bills/2010-12/allhallowsstainingchurchhl.html,2010-12,Allhallows Staining Church Act,1st reading: House of Commons,18.03.2010,http://www.parliament.the-stationery-office.co.uk/pa/cm200910/cmvote/100318v01.htm
http://services.parliament.uk//bills/2010-12/allhallowsstainingchurchhl.html,2010-12,Allhallows Staining Church Act,2nd reading: House of Commons,30.03.2010,http://www.publications.parliament.uk/pa/cm200910/cmhansrd/cm100330/debtext/100330-0001.htm#10033052000017
http://services.parliament.uk//bills/2010-12/allhallowsstainingchurchhl.html,2010-12,Allhallows Staining Church Act,Bill reintroduced: House of Commons,28.06.2010,http://www.publications.parliament.uk/pa/cm201011/cmvote/100628v01.htm
http://services.parliament.uk//bills/2010-12/allhallowsstainingchurchhl.html,2010-12,Allhallows Staining Church Act,Bill reintroduced: House of Lords,28.06.2010,http://www.publications.parliament.uk/pa/ld201011/minutes/100629/ldordpap.htm#minproc
http://services.parliament.uk//bills/2010-12/allhallowsstainingchurchhl.html,2010-12,Allhallows Staining Church Act,Transcript of the Commons Unopposed Bill Committee - Day 1 of 1: House of Commons,21.07.2010,http://www.publications.parliament.uk/pa/cm200910/cmprbill/allhall/020/allhallcorrevid.pdf
http://services.parliament.uk//bills/2010-12/allhallowsstainingchurchhl.html,2010-12,Allhallows Staining Church Act,3rd reading: House of Commons,26.07.2010,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm100726/debtext/100726-0001.htm#10072611000028
http://services.parliament.uk//bills/2010-12/allhallowsstainingchurchhl.html,2010-12,Allhallows Staining Church Act,Royal Assent,27.07.2010,http://www.publications.parliament.uk/pa/ld201011/minutes/100728/ldordpap.htm#minproc
http://services.parliament.uk//bills/2010-12/anonymityarrestedpersons.html,2010-12,Anonymity (Arrested Persons) Bill,1st reading: House of Commons,30.06.2010,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm100630/debtext/100630-0004.htm#10063036000008
http://services.parliament.uk//bills/2010-12/apprehensionofburglars.html,2010-12,Apprehension of Burglars Bill,1st reading: House of Commons,05.07.2010,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm100705/debtext/100705-0002.htm#10070540000002
http://services.parliament.uk//bills/2010-12/apprenticeshipsandskillspublicprocurementcontracts.html,2010-12,Apprenticeships and Skills (Public Procurement Contracts) Bill,1st reading: House of Commons,14.09.2010,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm100914/debtext/100914-0001.htm#10091432000001
http://services.parliament.uk//bills/2010-12/consolidatedfundappropriationno2.html,2010-12,Appropriation Act,1st reading: House of Commons,02.03.2011,http://www.parliament.uk/business/bills-and-legislation/current-bills/bills-before-parliament-no-debate/
http://services.parliament.uk//bills/2010-12/consolidatedfundappropriationno2.html,2010-12,Appropriation Act,2nd reading: House of Commons,03.03.2011,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm110303/debtext/110303-0002.htm#11030362000015
http://services.parliament.uk//bills/2010-12/consolidatedfundappropriationno2.html,2010-12,Appropriation Act,3rd reading: House of Commons,03.03.2011,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm110303/debtext/110303-0002.htm#11030362000015
http://services.parliament.uk//bills/2010-12/consolidatedfundappropriationno2.html,2010-12,Appropriation Act,1st reading: House of Lords,03.03.2011,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/110303-0003.htm#11030374000177
http://services.parliament.uk//bills/2010-12/consolidatedfundappropriationno2.html,2010-12,Appropriation Act,2nd reading: House of Lords,09.03.2011,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/110309-0001.htm#11030947000330
http://services.parliament.uk//bills/2010-12/consolidatedfundappropriationno2.html,2010-12,Appropriation Act,3rd reading: House of Lords,09.03.2011,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/110309-0001.htm#11030947000330
http://services.parliament.uk//bills/2010-12/consolidatedfundappropriationno2.html,2010-12,Appropriation Act,Committee negatived: House of Lords,09.03.2011,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/110309-0001.htm#11030947000330
http://services.parliament.uk//bills/2010-12/consolidatedfundappropriationno2.html,2010-12,Appropriation Act,Royal Assent,16.03.2011,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/110316-0001.htm#110316107000415
http://services.parliament.uk//bills/2010-12/consolidatedfundappropriation.html,2010-12,Appropriation (No. 3) Act,1st reading: House of Commons,19.07.2010,http://www.parliament.uk/business/bills-and-legislation/current-bills/bills-before-parliament-no-debate/
http://services.parliament.uk//bills/2010-12/consolidatedfundappropriation.html,2010-12,Appropriation (No. 3) Act,2nd reading: House of Commons,20.07.2010,http://www.parliament.uk/business/bills-and-legislation/current-bills/bills-before-parliament-no-debate/
http://services.parliament.uk//bills/2010-12/consolidatedfundappropriation.html,2010-12,Appropriation (No. 3) Act,3rd reading: House of Commons,20.07.2010,http://www.parliament.uk/business/bills-and-legislation/current-bills/bills-before-parliament-no-debate/
http://services.parliament.uk//bills/2010-12/consolidatedfundappropriation.html,2010-12,Appropriation (No. 3) Act,1st reading: House of Lords,20.07.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/100720-0001.htm#10072030000607
http://services.parliament.uk//bills/2010-12/consolidatedfundappropriation.html,2010-12,Appropriation (No. 3) Act,2nd reading: House of Lords,26.07.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/100726-0001.htm#1007266000415
http://services.parliament.uk//bills/2010-12/consolidatedfundappropriation.html,2010-12,Appropriation (No. 3) Act,3rd reading: House of Lords,26.07.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/100726-0001.htm#1007266000415
http://services.parliament.uk//bills/2010-12/consolidatedfundappropriation.html,2010-12,Appropriation (No. 3) Act,Committee negatived: House of Lords,26.07.2010,
http://services.parliament.uk//bills/2010-12/consolidatedfundappropriation.html,2010-12,Appropriation (No. 3) Act,Royal Assent,27.07.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/100727-0002.htm#10072739000586
http://services.parliament.uk//bills/2010-12/arbitrationandmediationservicesequalityhl.html,2010-12,Arbitration and Mediation Services (Equality) Bill [HL],1st reading: House of Lords,07.06.2011,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/110607-0001.htm#11060733000388
http://services.parliament.uk//bills/2010-12/armedforces.html,2010-12,Armed Forces Act,1st reading: House of Commons,08.12.2010,http://www.parliament.uk/business/bills-and-legislation/current-bills/bills-before-parliament-no-debate/
http://services.parliament.uk//bills/2010-12/armedforces.html,2010-12,Armed Forces Act,2nd reading: House of Commons,10.01.2011,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm110110/debtext/110110-0002.htm#1101109000001
